Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Joan García,es ESP,GK,24-125,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pedri,es ESP,MF,22-285,3.0,19,6.33,17,0,0,1,1,0,0,0.0,0,0,0,0,0,0
Lamine Yamal,es ESP,FW,18-055,3.0,24,8.0,9,1,6,4,3,1,5,1.67,2,0,1,1,1,0
Eric García,es ESP,DF,24-240,2.9,10,3.41,9,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Ferrán Torres,es ESP,FW,25-189,2.6,5,1.91,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Raphinha,br BRA,"FW,MF",28-266,2.5,12,4.76,9,2,0,1,0,0,2,0.79,1,1,0,0,0,0
Alejandro Balde,es ESP,DF,21-323,2.4,8,3.29,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Frenkie de Jong,nl NED,MF,28-117,2.0,7,3.5,7,0,0,0,0,0,1,0.5,1,0,0,0,0,0
Ronald Araújo,uy URU,DF,26-183,1.8,2,1.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pau Cubarsí,es ESP,DF,18-227,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dani Olmo,es ESP,"MF,FW",27-122,1.7,9,5.36,7,1,0,1,0,0,1,0.6,1,0,0,0,0,0
Jules Koundé,fr FRA,DF,26-298,1.2,3,2.45,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Andreas Christensen,dk DEN,DF,29-149,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marcus Rashford,eng ENG,FW,27-310,1.1,8,7.5,5,2,1,0,0,0,0,0.0,0,0,0,0,0,0
Fermin López,es ESP,MF,22-118,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marc Casado,es ESP,MF,21-357,0.5,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gavi,es ESP,"MF,DF",21-032,0.7,3,4.03,3,0,0,0,0,0,1,1.34,1,0,0,0,0,0
Robert Lewandowski,pl POL,FW,37-016,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jofre Torrents,es ESP,DF,18-221,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gerard Martín,es ESP,DF,23-248,0.1,2,13.85,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,24.4,3.0,114,38.0,87,7,7,7,4,2,10,3.33,6,1,1,1,1,0
Opponent Total,,,28.7,3.0,40,13.33,25,4,2,6,3,0,5,1.67,1,1,1,2,0,0
