Players,Values
Luís Figo,€60.00m
Hernán Crespo,€56.81m
Gabriel Batistuta,€36.15m
Nicolas Anelka,€34.50m
Marc Overmars,€29.30m
Rio Ferdinand,€26.00m
Flávio Conceição,€25.00m
Savo Milosevic,€25.00m
David Trezeguet,€23.24m
Matías Almeyda,€23.00m
Claudio López,€23.00m
Jimmy Floyd Hasselbaink,€22.50m
Gerard López,€21.60m
Lucas Severino,€21.30m
Pablo Aimar,€21.25m
Walter Samuel,€20.80m
Shabani Nonda,€20.00m
Vampeta,€20.00m
Robbie Keane,€19.50m
Jonathan Zebina,€18.40m
Emerson,€18.00m
Robbie Keane,€18.00m
Tore André Flo,€18.00m
Sergiy Rebrov,€18.00m
Angelo Peruzzi,€17.90m
